STT,nickname,doanDung,tongDuDoan,,,,STT,nickname,doanDung,tongDuDoan,Ti le,,"Top 20 chuyên gia d? ?oán chính xác nh?t
",,,,,,
1484,Savvyinvestor,2,24,,,,,,,,,,,,,,,,
473,Nguyen_Dinh_ISE,7,23,,,,,,,,,,,,,,,,
642,HOLDD,5,23,,,,,,,,,,,,,,,,
714,Mr_Lee29,11,23,,,,,,,,,,,,,,,,
797,Benka,11,23,,,,,,,,,,,,,,,,
1091,heohamchoi,14,23,,,,,,,,,,,,,,,,
1653,Wolflife,1,23,,,,,,,,,,,,,,,,
391,2017AndyNguyen,18,22,,,,,,,,,,,,,,,,
482,nguyencuong19,10,22,,,,,,,,,,,,,,,,
745,Nguyenthanh2720,11,22,,,,,,,,,,,,,,,,
958,TruongGiang_VNDirect,6,22,,,,,,,,,,,,,,,,
1098,MinhToan171,9,22,,,,,,,,,,,,,,,,
1411,minhmanh2018,0,22,,,,,,,,,,,,,,,,
1666,QUYENVNDS,0,22,,,,,,,,,,,,,,,,
13,Mrhuybbg,9,21,,,,,,,,,,,,,,,,
297,tuan-can,13,21,,,,,,,,,,,,,,,,
575,saydiabu2,9,21,,,,,,,,,,,,,,,,
723,anfrohel,5,21,,,,,,,,,,,,,,,,
1355,Broker_Pro,1,21,,,,,,,,,,,,,,,,
1386,Eaglinvestor,0,21,,,,,,,,,,,,,,,,
1412,InvestmentLabs,0,21,,,,,,,,,,,,,,,,
1514,duyluong,0,21,,,,,,,,,,,,,,,,
1614,Ginie,0,21,,,,,,,,,,,,,,,,
5,phuonglinh1991,12,20,,,,,,,,,,,,,,,,
31,Victo18,5,20,,,,,,,,,,,,,,,,
123,Bean_PT,9,20,,,,,,,,,,,,,,,,
202,Trangram,10,20,,,,,,,,,,,,,,,,
324,Stock68689999,13,20,,,,,,,,,,,,,,,,
401,Andytran1982,14,20,,,,,,,,,,,,,,,,
595,Phattructiep,2,20,,,,,,,,,,,,,,,,
273,Warrenslimlee,8,19,,,,,,,,,,,,,,,,
289,Bluerose,9,19,,,,,,,,,,,,,,,,
535,AnhTuanPro,8,19,,,,,,,,,,,,,,,,
594,Lamgiauck,10,19,,,,,,,,,,,,,,,,
1039,Finbox_Advisor,5,19,,,,,,,,,,,,,,,,
1383,viethung1602,0,19,,,,,,,,,,,,,,,,
97,khonggianxanh,10,18,,,,,,,,,,,,,,,,
116,Broker6868,15,18,,,,,,,,,,,,,,,,
181,Angel22,8,18,,,,,,,,,,,,,,,,
205,VuDang-fisher,11,18,,,,,,,,,,,,,,,,
421,BlackEagle,12,18,,,,,,,,,,,,,,,,
452,Reminguyen,17,18,,,,,,,,,,,,,,,,
586,Leminh92,3,18,,,,,,,,,,,,,,,,
872,nguyennmao,13,18,,,,,,,,,,,,,,,,
1413,DUngNguyen2018,0,18,,,,,,,,,,,,,,,,
1416,Ducsmc,0,18,,,,,,,,,,,,,,,,
1552,Hopes,0,18,,,,,,,,,,,,,,,,
1560,HaMa1,0,18,,,,,,,,,,,,,,,,
425,Texky,3,17,,,,,,,,,,,,,,,,
548,Luong_Bang,15,17,,,,,,,,,,,,,,,,
782,thquocdung,11,17,,,,,,,,,,,,,,,,
898,F9_F9,4,17,,,,,,,,,,,,,,,,
924,BrokerNewbie,3,17,,,,,,,,,,,,,,,,
1182,thanhtrong,15,17,,,,,,,,,,,,,,,,
1364,BobbyHoaNguyen,0,17,,,,,,,,,,,,,,,,
54,Vuphien,3,16,,,,,,,,,,,,,,,,
200,Vuongtx610,5,16,,,,,,,,,,,,,,,,
346,ocmeo,9,16,,,,,,,,,,,,,,,,
347,Linhtranqb,9,16,,,,,,,,,,,,,,,,
367,mhvinh,7,16,,,,,,,,,,,,,,,,
559,MinLou,6,16,,,,,,,,,,,,,,,,
620,Hung_HSC,7,16,,,,,,,,,,,,,,,,
1375,Ssssssssssssss,0,16,,,,,,,,,,,,,,,,
68,truongthuong,9,15,,,,,,,,,,,,,,,,
142,thosatraco16,4,15,,,,,,,,,,,,,,,,
184,913358079,3,15,,,,,,,,,,,,,,,,
247,Tuanlhi,1,15,,,,,,,,,,,,,,,,
271,DUYTAN0708,4,15,,,,,,,,,,,,,,,,
430,congtuan78,3,15,,,,,,,,,,,,,,,,
432,lequoctuan,10,15,,,,,,,,,,,,,,,,
455,Thanhpro_VT3,6,15,,,,,,,,,,,,,,,,
574,Goldengoose,10,15,,,,,,,,,,,,,,,,
663,NNTTKK,3,15,,,,,,,,,,,,,,,,
817,lehoanh,6,15,,,,,,,,,,,,,,,,
1012,TUANMARITIME,7,15,,,,,,,,,,,,,,,,
1665,stockviet82,0,15,,,,,,,,,,,,,,,,
1722,Stockman8,0,15,,,,,,,,,,,,,,,,
32,Duonghung8666,7,14,,,,,,,,,,,,,,,,
101,Buffett2017,6,14,,,,,,,,,,,,,,,,
164,hoaimh68,2,14,,,,,,,,,,,,,,,,
